yas,aylik_gelir,egitim,toplam_deneyim_yili,sirkette_calisma_yili,performans_puani,fazla_mesai,aylik_fazla_mesai_saati,yillik_izin_kullanimi,is_memnuniyeti,is_yasam_dengesi,son_terfiden_beri_yil,ise_uzaklik_km,isten_ayrildi
53,74500,On Lisans,24,14,4,Hayir,2,15,4,4,0,47,Hayir
39,61700,Lisans,10,5,4,Evet,24,9,3,2,1,42,Hayir
52,49800,Lisans,11,2,4,Hayir,4,9,2,3,2,50,Hayir
58,,Lisans,18,17,4,Hayir,0,17,2,3,4,10,Hayir
24,34600,On Lisans,5,4,5,Hayir,0,12,1,2,3,42,Hayir
46,62200,Doktora,21,9,4,Hayir,4,17,5,2,4,7,Hayir
28,40900,Yuksek Lisans,9,5,4,Hayir,0,3,4,3,1,30,Hayir
57,69900,Yuksek Lisans,23,19,3,Evet,30,20,2,3,7,27,Evet
42,44500,,10,5,4,Hayir,5,10,5,2,0,9,Hayir
25,47600,On Lisans,5,4,4,Hayir,6,4,5,3,1,45,Hayir
53,75000,Lisans,18,5,2,Evet,15,20,3,1,5,1,Hayir
39,61100,Lisans,16,11,5,Evet,9,18,1,1,2,27,Hayir
26,46800,Yuksek Lisans,8,5,5,Hayir,4,7,2,1,3,47,Hayir
43,77400,Yuksek Lisans,22,11,4,Hayir,3,11,4,5,5,10,Hayir
38,59200,Lisans,19,12,,Evet,20,13,1,3,1,35,Evet
38,49300,Yuksek Lisans,17,15,2,Evet,15,17,3,5,0,7,Evet
34,56400,Yuksek Lisans,13,10,4,Hayir,4,7,2,2,4,1,Evet
30,51100,On Lisans,10,1,1,Evet,18,18,3,3,0,2,Hayir
49,77700,Lise,27,11,4,Hayir,4,4,4,4,0,26,Hayir
30,53800,Lisans,11,6,2,Hayir,5,20,5,1,0,9,Hayir
23,37200,Lisans,2,2,2,Evet,13,3,4,1,2,31,Evet
51,51700,Yuksek Lisans,20,5,4,Hayir,4,,2,2,0,20,Hayir
37,50700,Lisans,16,1,3,Evet,15,12,3,4,0,45,Hayir
48,57900,Lisans,7,5,3,Hayir,5,6,2,5,5,34,Evet
39,67600,Yuksek Lisans,13,0,3,Hayir,6,17,5,1,0,36,Evet
51,57000,Lise,17,11,3,Evet,17,8,2,4,0,14,Evet
28,32300,Yuksek Lisans,8,8,3,Hayir,6,14,2,3,0,15,Hayir
31,72600,Lisans,12,4,2,Hayir,1,12,1,2,3,9,Hayir
25,51200,Lisans,7,4,4,Hayir,6,14,5,4,0,4,Hayir
39,60200,Lisans,16,15,4,Evet,14,19,,1,1,21,Hayir
59,82300,On Lisans,30,16,3,Evet,16,20,1,5,5,40,Hayir
55,56300,Yuksek Lisans,17,4,5,Hayir,3,19,1,2,0,3,Hayir
48,101700,Yuksek Lisans,29,9,4,Hayir,0,3,2,5,3,39,Hayir
42,83000,Lisans,19,12,5,Hayir,5,20,1,5,5,45,Hayir
36,48200,Lisans,10,6,1,Hayir,0,7,5,3,5,18,Hayir
54,68800,Lisans,21,16,2,Hayir,1,10,2,3,4,39,Hayir
56,65900,Lisans,19,6,2,Hayir,5,16,5,1,1,,Hayir
34,53400,Lisans,14,12,1,Evet,28,18,3,3,7,39,Hayir
24,48000,Yuksek Lisans,5,1,3,Hayir,0,20,3,1,1,37,Hayir
41,36700,Lisans,1,0,3,Evet,25,17,3,3,0,1,Hayir
51,27800,Lisans,2,1,3,Evet,8,17,2,1,1,8,Evet
55,78300,Lise,25,16,2,Hayir,3,8,4,4,2,14,Hayir
48,108900,Yuksek Lisans,30,13,4,Hayir,2,12,2,5,7,34,Hayir
32,31400,Lisans,8,1,4,Evet,18,18,2,4,0,14,Hayir
